球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
勒布朗-詹姆斯,239,10059,0.4910 ,2457,5006,0.332,370,1116,0.743,1627,2191,2122,1687,419,232,866,569,6911
迈克尔-乔丹,179,7474,0.4870 ,2188,4497,0.332,148,446,0.828,1463,1766,1152,1022,376,158,546,541,5987
卡里姆-贾巴尔,237,8851,0.5330 ,2356,4422,0,0,0,0.74,1050,1419,2481,767,0,0,0,797,5762
科比-布莱恩特,220,8635,0.4480 ,2014,4499,0.331,292,882,0.816,1320,1617,1119,1040,310,144,647,660,5640
沙奎尔-奥尼尔,216,8099,0.5630 ,2041,3627,0,0,0,0.504,1168,2317,2508,582,117,459,649,769,5250
蒂姆-邓肯,251,9372,0.5010 ,1975,3939,0.143,5,35,0.689,1217,1766,2859,764,168,568,633,701,5172
卡尔-马龙,193,7907,0.4630 ,1743,3768,0.162,6,37,0.736,1269,1725,2062,610,258,135,550,661,4761
杰里-韦斯特,153,6321,0.4690 ,1622,3460,0,0,0,0.805,1213,1506,855,970,0,0,0,451,4457
托尼-帕克,226,7766,0.4610 ,1613,3502,0.309,119,385,0.731,700,958,667,1143,198,19,594,429,4045
凯文-杜兰特,136,5513,0.4740 ,1340,2827,0.351,297,847,0.865,999,1155,1057,548,137,161,429,336,3976
德维恩-韦德,177,6694,0.4740 ,1450,3062,0.338,103,305,0.78,951,1220,928,870,273,175,583,467,3954
拉里·伯德,164,6886,0.4720 ,1458,3090,0.321,80,249,0.89,901,1012,1683,1062,296,145,506,466,3897
约翰-哈福利切克,172,6860,0.4360 ,1451,3329,0,0,0,0.836,874,1046,1186,825,0,0,0,527,3776
哈基姆-奥拉朱旺,145,5749,0.5280 ,1504,2847,0.222,4,18,0.719,743,1034,1621,458,245,472,424,562,3755
埃尔文-约翰逊,190,7538,0.5060 ,1291,2552,0.241,51,212,0.838,1068,1274,1465,2346,358,64,696,524,3701
德克-诺维茨基,145,5894,0.4620 ,1220,2642,0.365,149,408,0.892,1074,1204,1446,360,149,129,328,407,3663
斯科蒂-皮蓬,208,8105,0.4440 ,1335,3009,0.303,200,660,0.724,772,1067,1583,1048,395,185,602,686,3642
埃尔金·贝勒,134,5510,0.4390 ,1388,3161,0,0,0,0.769,847,1101,1724,541,0,0,0,435,3623
威尔特-张伯伦,160,7559,0.5220 ,1425,2728,0,0,0,0.465,757,1627,3913,673,0,0,0,402,3607
凯文-麦克海尔,169,5716,0.5610 ,1204,2145,0.381,8,21,0.788,766,972,1253,274,65,281,326,571,3182
保罗-皮尔斯,170,6233,0.4230 ,1022,2415,0.355,276,777,0.83,860,1036,985,578,204,105,476,547,3180
丹尼斯-约翰逊,180,6994,0.4390 ,1167,2661,0,0,0,0.802,756,943,781,1006,247,113,480,575,3116
朱利叶斯-欧文,141,5288,0.4860 ,1187,2441,0,0,0,0.779,707,908,994,594,235,239,0,403,3088
马努-吉诺比利,218,6075,0.4330 ,956,2209,0.358,324,905,0.817,818,1001,874,827,292,61,481,588,3054
詹姆斯-沃西,143,5297,0.5440 ,1267,2329,0.209,14,67,0.727,474,652,747,463,177,96,298,352,3022
雷吉-米勒,144,5308,0.4490 ,941,2095,0.39,320,820,0.893,770,862,416,357,146,34,257,276,2972
克莱德-德雷克斯勒,145,5572,0.4470 ,1076,2408,0.288,141,489,0.787,670,851,1002,891,278,108,397,486,2963
萨姆-琼斯,154,4654,0.4470 ,1149,2571,0,0,0,0.811,611,753,718,358,0,0,0,391,2909
查尔斯-巴克利,123,4849,0.5130 ,1009,1965,0.255,64,251,0.717,751,1048,1582,482,193,108,353,408,2833
罗波特-帕里什,184,6177,0.5060 ,1132,2239,0,0,0,0.722,556,770,1765,234,145,309,0,617,2820
帕特里克-尤因,139,5207,0.4690 ,1104,2353,0.348,8,23,0.718,597,831,1435,275,122,303,345,522,2813
雷-阿伦,171,6055,0.4430 ,928,2095,0.401,385,959,0.883,508,575,648,449,164,41,274,402,2749
比尔-拉塞尔,165,7497,0.4300 ,1003,2335,0,0,0,0.603,667,1106,4104,770,0,0,0,546,2673
凯文-加内特,143,5276,0.4780 ,1059,2216,0.273,15,55,0.789,468,593,1534,471,178,186,342,431,2601
理查德-汉密尔顿,130,5035,0.4390 ,943,2148,0.34,71,209,0.86,614,714,506,467,122,24,348,401,2571
